Price,Gold_Close,Gold_High,Gold_Low,Gold_Open,Gold_Volume,SP500_Close,SP500_High,SP500_Low,SP500_Open,SP500_Volume,DJI_Close,DJI_High,DJI_Low,DJI_Open,DJI_Volume,Oil_USO_Close,Oil_USO_High,Oil_USO_Low,Oil_USO_Open,Oil_USO_Volume,USD_Index_Close,USD_Index_High,USD_Index_Low,USD_Index_Open,USD_Index_Volume,GDX_Close,GDX_High,GDX_Low,GDX_Open,GDX_Volume,Platinum_Close,Platinum_High,Platinum_Low,Platinum_Open,Platinum_Volume,Palladium_Close,Palladium_High,Palladium_Low,Palladium_Open,Palladium_Volume,EUR_USD_Close,EUR_USD_High,EUR_USD_Low,EUR_USD_Open,EUR_USD_Volume,CHF_USD_Close,CHF_USD_High,CHF_USD_Low,CHF_USD_Open,CHF_USD_Volume
Ticker,Gold_GC=F,Gold_GC=F,Gold_GC=F,Gold_GC=F,Gold_GC=F,SP500_^GSPC,SP500_^GSPC,SP500_^GSPC,SP500_^GSPC,SP500_^GSPC,DJI_^DJI,DJI_^DJI,DJI_^DJI,DJI_^DJI,DJI_^DJI,Oil_USO_USO,Oil_USO_USO,Oil_USO_USO,Oil_USO_USO,Oil_USO_USO,USD_Index_UUP,USD_Index_UUP,USD_Index_UUP,USD_Index_UUP,USD_Index_UUP,GDX_GDX,GDX_GDX,GDX_GDX,GDX_GDX,GDX_GDX,Platinum_PL=F,Platinum_PL=F,Platinum_PL=F,Platinum_PL=F,Platinum_PL=F,Palladium_PA=F,Palladium_PA=F,Palladium_PA=F,Palladium_PA=F,Palladium_PA=F,EUR_USD_EURUSD=X,EUR_USD_EURUSD=X,EUR_USD_EURUSD=X,EUR_USD_EURUSD=X,EUR_USD_EURUSD=X,CHF_USD_CHF=X,CHF_USD_CHF=X,CHF_USD_CHF=X,CHF_USD_CHF=X,CHF_USD_CHF=X
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-03,1422.5999755859375,1423.9000244140625,1413.699951171875,1415.5999755859375,28.0,1271.8699951171875,1276.1700439453125,1257.6199951171875,1257.6199951171875,4286670000.0,11670.75,11711.4697265625,11577.349609375,11577.4296875,203420000.0,312.3999938964844,315.8399963378906,312.0,314.7200012207031,607838.0,19.71491813659668,19.758115703728404,19.663082703857306,19.71491813659668,1876500.0,53.46152877807617,54.56119819504518,53.13602757031227,54.376454538416326,9097700.0,1781.0999755859375,1784.4000244140625,1774.0,1774.0,19.0,800.4000244140625,800.4000244140625,800.4000244140625,800.4000244140625,7.0,1.3357912302017212,1.3365052938461304,1.3252933025360107,1.335594892501831,0.0,0.9319999814033508,0.9381999969482422,0.932200014591217,0.9322999715805054,0.0
2011-01-04,1378.5,1410.9000244140625,1375.800048828125,1409.5999755859375,122.0,1270.199951171875,1274.1199951171875,1262.6600341796875,1272.949951171875,4796420000.0,11691.1796875,11698.2197265625,11635.740234375,11670.900390625,178630000.0,304.6400146484375,312.0799865722656,301.5199890136719,312.0,1758150.0,19.766754150390625,19.79267269143155,19.663083281864417,19.663083281864417,2474300.0,51.9219856262207,52.9688695827097,51.02465508240541,52.81931617003599,13872000.0,1743.0999755859375,1769.300048828125,1738.199951171875,1767.800048828125,102.0,769.0499877929688,769.0499877929688,769.0499877929688,769.0499877929688,7.0,1.3356841802597046,1.3430931568145752,1.3318239450454712,1.3360053300857544,0.0,0.9342399835586548,0.9470999836921692,0.9323999881744385,0.9340999722480774,0.0
2011-01-05,1373.4000244140625,1384.0,1364.199951171875,1383.4000244140625,175.0,1276.56005859375,1277.6300048828125,1265.3599853515625,1268.780029296875,4764920000.0,11722.8896484375,11742.6796875,11652.8896484375,11688.6103515625,169990000.0,308.1600036621094,309.760009765625,300.6400146484375,302.3999938964844,1582125.0,19.965457916259766,20.000014320127903,19.922260351651346,19.982735294284534,4296600.0,51.21820831298828,51.57010054360428,50.57600172008717,51.32377564658058,11490900.0,1730.300048828125,1734.0,1715.0,1733.800048828125,39.0,775.2999877929688,775.2999877929688,775.2999877929688,775.2999877929688,7.0,1.3321077823638916,1.3323917388916016,1.3129045963287354,1.3323917388916016,0.0,0.9472000002861023,0.9675099849700928,0.9469000101089478,0.9469000101089478,0.0
2011-01-06,1371.4000244140625,1376.5,1368.9000244140625,1374.800048828125,158.0,1273.8499755859375,1278.1700439453125,1270.4300537109375,1276.2900390625,4844100000.0,11697.3095703125,11736.740234375,11667.4599609375,11716.9296875,193080000.0,301.44000244140625,306.55999755859375,299.6000061035156,306.4800109863281,1399413.0,20.1209659576416,20.13824333575604,19.974097532847917,19.98273539799583,4132800.0,49.91619110107422,51.34136159588203,49.757838450992864,51.27098114876834,13883700.0,1732.699951171875,1735.0,1731.300048828125,1731.300048828125,5.0,762.9000244140625,762.9000244140625,762.9000244140625,762.9000244140625,7.0,1.3156856298446655,1.3170371055603027,1.303373098373413,1.3161011934280396,0.0,0.9658100008964539,0.970550000667572,0.9609000086784363,0.9657999873161316,0.0
2011-01-07,1368.5,1377.199951171875,1355.5,1372.699951171875,225.0,1271.5,1276.8299560546875,1261.699951171875,1274.4100341796875,4963110000.0,11674.759765625,11726.9404296875,11599.6796875,11696.8603515625,188720000.0,301.3599853515625,304.8800048828125,297.44000244140625,303.44000244140625,1025713.0,20.181442260742188,20.19008177429098,20.086409259524167,20.12960517944942,4977100.0,49.91619110107422,50.769532208818845,49.61708091268992,49.67866212595218,11027600.0,1735.0999755859375,1740.300048828125,1717.800048828125,1728.0,29.0,755.9500122070312,748.0999755859375,748.0999755859375,748.0999755859375,3.0,1.2979933023452759,1.3021341562271118,1.2938953638076782,1.2989037036895752,0.0,0.9659000039100647,0.9678000211715698,0.9603999853134155,0.9657700061798096,0.0
2011-01-10,1373.699951171875,1374.0,1365.699951171875,1369.0,181.0,1269.75,1271.52001953125,1262.1800537109375,1270.8399658203125,4036450000.0,11637.4501953125,11677.330078125,11573.8701171875,11672.33984375,150340000.0,305.3599853515625,306.0,302.3999938964844,304.6400146484375,980450.0,20.112329483032227,20.216000358654785,20.112329483032227,20.190083463658574,2047400.0,50.04815673828125,50.19771353234778,49.51151749614975,50.03936085906553,7591100.0,1743.0,1748.0,1739.0999755859375,1747.5999755859375,22.0,748.6500244140625,748.6500244140625,748.6500244140625,748.6500244140625,3.0,1.289507269859314,1.2948336601257324,1.287713885307312,1.2898067235946655,0.0,0.9666000008583069,0.9724900126457214,0.9628999829292297,0.9667999744415283,0.0
2011-01-11,1384.0,1384.5,1373.9000244140625,1375.4000244140625,13.0,1274.47998046875,1277.25,1269.6199951171875,1272.5799560546875,4050750000.0,11671.8798828125,11704.1201171875,11635.48046875,11638.509765625,157440000.0,311.0400085449219,311.1199951171875,305.67999267578125,307.3599853515625,883925.0,20.103689193725586,20.19872055141282,20.095049679786964,20.12960608772265,2853500.0,51.059852600097656,51.1126345857944,50.4088468104642,50.76074237609171,8288600.0,1767.5999755859375,1770.699951171875,1747.5,1747.5,46.0,782.75,782.75,782.75,782.75,3.0,1.2964956760406494,1.2986000776290894,1.2910054922103882,1.2959076166152954,0.0,0.9659000039100647,0.9781000018119812,0.9660000205039978,0.9660000205039978,0.0
2011-01-12,1385.699951171875,1385.5,1378.0,1382.5999755859375,204.0,1285.9599609375,1286.8699951171875,1275.6500244140625,1275.6500244140625,4226940000.0,11755.4404296875,11782.23046875,11673.6201171875,11673.6201171875,144960000.0,311.9200134277344,314.1600036621094,311.0400085449219,312.32000732421875,933125.0,19.904985427856445,20.051852222177548,19.88770639988262,20.02593532803561,4674100.0,50.93669128417969,51.23580151479346,50.41764715917123,51.227002279699725,7430200.0,1797.9000244140625,1802.300048828125,1774.0,1774.0,123.0,805.7999877929688,805.7999877929688,805.7999877929688,805.7999877929688,3.0,1.2983977794647217,1.3063186407089233,1.2966636419296265,1.2986000776290894,0.0,0.9734699726104736,0.9753999710083008,0.969219982624054,0.9733999967575073,0.0
